Edad;qx
0;0,01080429
1;0,00440199
2;0,00454767
3;0,00471059
4;0,00484162
5;0,00504765
6;0,00524207
7;0,00543836
8;0,00563282
9;0,00582620
10;0,00613027
11;0,00634584
12;0,00658733
13;0,00686127
14;0,00715908
15;0,00812627
16;0,00845708
17;0,00878197
18;0,00909460
19;0,00939622
20;0,00954636
21;0,00984314
22;0,01012160
23;0,01037641
24;0,01061386
25;0,01071761
26;0,01094971
27;0,01118516
28;0,01142773
29;0,01167715
30;0,01183078
31;0,01217004
32;0,01242405
33;0,01260603
34;0,01274172
35;0,01286990
36;0,01313684
37;0,01348688
38;0,01392834
39;0,01446344
40;0,01491453
41;0,01560964
42;0,01637149
43;0,01718933
44;0,01805512
45;0,01883983
46;0,01978603
47;0,02077704
48;0,02181627
49;0,02290607
50;0,02419355
51;0,02537782
52;0,02658361
53;0,02778798
54;0,02896646
55;0,03023407
56;0,03130672
57;0,03230843
58;0,03323900
59;0,03410416
60;0,03568219
61;0,03646622
62;0,03722138
63;0,03796311
64;0,03870763
65;0,04007493
66;0,04089640
67;0,04178883
68;0,04278337
69;0,04391568
70;0,04529994
71;0,04683533
72;0,04864091
73;0,05076533
74;0,05325630
75;0,05714919
76;0,06055723
77;0,06444797
78;0,06883571
79;0,07371979
80;0,08005169
81;0,08593481
82;0,09222398
83;0,09885844
84;0,10576601
85;0,11424258
86;0,12153400
87;0,12964852
88;0,13990696
89;0,15006501
90;0,16293381
91;0,17478192
92;0,18747762
93;0,20106321
94;0,21557974
95;0,23386842
96;0,25056103
97;0,26830449
98;0,28712621
99;0,30704706
100;0,33204660
101;0,35446258
102;0,37799926
103;0,40263525
104;0,42833402
105;0,45504205
106;0,48268701
107;0,51117625
108;0,54039544
109;0,57020773
110;1,00000000
