Edad;qx
0;0,00832329
1;0,00294823
2;0,00309750
3;0,00324920
4;0,00347967
5;0,00376202
6;0,00399717
7;0,00423464
8;0,00447414
9;0,00471538
10;0,00510743
11;0,00536517
12;0,00563263
13;0,00591156
14;0,00619832
15;0,00674481
16;0,00704583
17;0,00733696
18;0,00761332
19;0,00787884
20;0,00806635
21;0,00833067
22;0,00859543
23;0,00886190
24;0,00913032
25;0,00924991
26;0,00951550
27;0,00978593
28;0,01006262
29;0,01034451
30;0,01040137
31;0,01068318
32;0,01096474
33;0,01124479
34;0,01152519
35;0,01184339
36;0,01213453
37;0,01243215
38;0,01273745
39;0,01305053
40;0,01350456
41;0,01383642
42;0,01417517
43;0,01452073
44;0,01487475
45;0,01538258
46;0,01577244
47;0,01626651
48;0,01679242
49;0,01729057
50;0,01763862
51;0,01804786
52;0,01841851
53;0,01876351
54;0,01909550
55;0,01946794
56;0,01978106
57;0,02006816
58;0,02031243
59;0,02050219
60;0,02099586
61;0,02109522
62;0,02118661
63;0,02130934
64;0,02150283
65;0,02179068
66;0,02221268
67;0,02277181
68;0,02347243
69;0,02431558
70;0,02517939
71;0,02631254
72;0,02760985
73;0,02909375
74;0,03079622
75;0,03301405
76;0,03530376
77;0,03796079
78;0,04104308
79;0,04460812
80;0,04953078
81;0,05429832
82;0,05970513
83;0,06578625
84;0,07256815
85;0,08137840
86;0,08973961
87;0,09883649
88;0,10865413
89;0,11916386
90;0,13244529
91;0,14438249
92;0,15683904
93;0,16972074
94;0,18291929
95;0,19958090
96;0,21440869
97;0,23165041
98;0,25230416
99;0,27148860
100;0,29626243
101;0,31749461
102;0,33951433
103;0,36225064
104;0,38562059
105;0,40953006
106;0,43387507
107;0,45854343
108;0,48341669
109;0,50837240
110;1,00000000
